tid,volume,50,100,200,500,1500,3000,5000,10000,20000,0
14228093,17592.26392,False,False,False,False,False,False,False,False,True,False
14228095,31.105963588,True,False,False,False,False,False,False,False,False,False
14228099,411.4075299,False,False,False,True,False,False,False,False,False,False
14228117,11.663978400001172,True,False,False,False,False,False,False,False,False,False
14228122,875.95591403276,False,False,False,False,True,False,False,False,False,False
14228123,875.931666337024,False,False,False,False,True,False,False,False,False,False
14228134,10154.03875603,False,False,False,False,False,False,False,False,True,False
14228135,110.02261829,False,False,True,False,False,False,False,False,False,False
14228136,4.7794511688,True,False,False,False,False,False,False,False,False,False
14228137,1066.0547896052797,False,False,False,False,True,False,False,False,False,False
14228138,1238.24978279471,False,False,False,False,True,False,False,False,False,False
14228139,550.442881166043,False,False,False,False,True,False,False,False,False,False
14228140,1777.7333977045096,False,False,False,False,False,True,False,False,False,False
14228141,1348.7240765572874,False,False,False,False,True,False,False,False,False,False
14228142,1032.1944139755058,False,False,False,False,True,False,False,False,False,False
14228143,1777.716300451887,False,False,False,False,False,True,False,False,False,False
14228144,1348.7138825516404,False,False,False,False,True,False,False,False,False,False
14228145,102.98165991639394,False,False,True,False,False,False,False,False,False,False
14228156,109.84911864458383,False,False,True,False,False,False,False,False,False,False
14228162,925.3115668416596,False,False,False,False,True,False,False,False,False,False
14228163,867.5416023227668,False,False,False,False,True,False,False,False,False,False
14228186,5000.0,False,False,False,False,False,False,False,True,False,False
14228187,1577.3540001577353,False,False,False,False,False,True,False,False,False,False
14228188,48457.645,False,False,False,False,False,False,False,False,False,True
14228189,9999.992,False,False,False,False,False,False,False,True,False,False
14228190,250.0,False,False,False,True,False,False,False,False,False,False
14228191,5.281,True,False,False,False,False,False,False,False,False,False
14228192,50034.999,False,False,False,False,False,False,False,False,False,True
14228193,15000.008000000002,False,False,False,False,False,False,False,False,True,False
14228195,25127.0,False,False,False,False,False,False,False,False,False,True
14228196,15000.0,False,False,False,False,False,False,False,False,True,False
14228197,8991.0,False,False,False,False,False,False,False,True,False,False
14228204,15000.0,False,False,False,False,False,False,False,False,True,False
14228205,8991.0,False,False,False,False,False,False,False,True,False,False
14228206,15000.0,False,False,False,False,False,False,False,False,True,False
14228207,15212.999,False,False,False,False,False,False,False,False,True,False
14228209,54.307,False,True,False,False,False,False,False,False,False,False
14228210,15000.0,False,False,False,False,False,False,False,False,True,False
14228211,10000.0,False,False,False,False,False,False,False,False,True,False
14228212,15000.0,False,False,False,False,False,False,False,False,True,False
14228213,9999.999,False,False,False,False,False,False,False,True,False,False
14228214,15000.0,False,False,False,False,False,False,False,False,True,False
14228215,15000.0,False,False,False,False,False,False,False,False,True,False
14228216,30000.0,False,False,False,False,False,False,False,False,False,True
14228218,7113.5580015,False,False,False,False,False,False,False,True,False,False
14228219,7290.421388999999,False,False,False,False,False,False,False,True,False,False
14228220,112713.22200000001,False,False,False,False,False,False,False,False,False,True
14228221,1006.5400000000001,False,False,False,False,True,False,False,False,False,False
14228222,957.2304037584959,False,False,False,False,True,False,False,False,False,False
14228223,1436.842720641515,False,False,False,False,True,False,False,False,False,False
14228224,1275.297995181132,False,False,False,False,True,False,False,False,False,False
14228225,1236.398517406712,False,False,False,False,True,False,False,False,False,False
14228226,1957.7445066366895,False,False,False,False,False,True,False,False,False,False
14228243,254.285723010832,False,False,False,True,False,False,False,False,False,False
14228248,87.63807620690106,False,True,False,False,False,False,False,False,False,False
14228250,82.89347028293516,False,True,False,False,False,False,False,False,False,False
14228262,19.999919998005996,True,False,False,False,False,False,False,False,False,False
14228268,761.5600799240719,False,False,False,False,True,False,False,False,False,False
14228269,541.039919946004,False,False,False,False,True,False,False,False,False,False
14228281,1617.4023561724364,False,False,False,False,False,True,False,False,False,False
14228282,383.8836740897761,False,False,False,True,False,False,False,False,False,False
14228285,5.089811634000506,True,False,False,False,False,False,False,False,False,False
14228288,1574.9007238801198,False,False,False,False,False,True,False,False,False,False
14228289,33.322768927967566,True,False,False,False,False,False,False,False,False,False
14228291,15.484763029088443,True,False,False,False,False,False,False,False,False,False
14228292,629.8645906,False,False,False,False,True,False,False,False,False,False
14228293,222.07890939167177,False,False,False,True,False,False,False,False,False,False
14228295,613.6135013439489,False,False,False,False,True,False,False,False,False,False
14228296,7.063544090604414,True,False,False,False,False,False,False,False,False,False
14228297,1282.7125704617179,False,False,False,False,True,False,False,False,False,False
14228298,2749.0820751144624,False,False,False,False,False,True,False,False,False,False
14228299,1490.5951194573013,False,False,False,False,True,False,False,False,False,False
14228300,2852.86604085,False,False,False,False,False,True,False,False,False,False
14228302,267.64373555000003,False,False,False,True,False,False,False,False,False,False
14228303,627.3885861486557,False,False,False,False,True,False,False,False,False,False
14228317,1926.6230022485079,False,False,False,False,False,True,False,False,False,False
14228318,958.1261133271255,False,False,False,False,True,False,False,False,False,False
14228319,756.1445831863281,False,False,False,False,True,False,False,False,False,False
14228320,10089.47236,False,False,False,False,False,False,False,False,True,False
14228321,1173.3707602448399,False,False,False,False,True,False,False,False,False,False
14228325,4999.9996349447,False,False,False,False,False,False,True,False,False,False
14228326,1582.0810030373566,False,False,False,False,False,True,False,False,False,False
14228327,17805.8111,False,False,False,False,False,False,False,False,True,False
14228328,751.3217814300748,False,False,False,False,True,False,False,False,False,False
14228329,547.4688615663105,False,False,False,False,True,False,False,False,False,False
14228330,1286.131200000128,False,False,False,False,True,False,False,False,False,False
14228331,3298.18599777,False,False,False,False,False,False,True,False,False,False
14228332,99.98541721778493,False,True,False,False,False,False,False,False,False,False
14228339,733.812455852939,False,False,False,False,True,False,False,False,False,False
14228340,1169.4879683406775,False,False,False,False,True,False,False,False,False,False
14228347,140.71598099506127,False,False,True,False,False,False,False,False,False,False
14228348,713.6433603850711,False,False,False,False,True,False,False,False,False,False
14228349,722.6815027745521,False,False,False,False,True,False,False,False,False,False
14228350,1115.725689767811,False,False,False,False,True,False,False,False,False,False
14228351,179.92333195352998,False,False,True,False,False,False,False,False,False,False
14228352,452.383243492815,False,False,False,True,False,False,False,False,False,False
14228353,574.0240711874925,False,False,False,False,True,False,False,False,False,False
14228354,1316.8159710896314,False,False,False,False,True,False,False,False,False,False
14228356,39.25675618243286,True,False,False,False,False,False,False,False,False,False
14228357,321.6716661854273,False,False,False,True,False,False,False,False,False,False
14228358,552.87713751171,False,False,False,False,True,False,False,False,False,False
14228359,452.3590228143463,False,False,False,True,False,False,False,False,False,False
14228368,532.793611343152,False,False,False,False,True,False,False,False,False,False
14228369,275.95303583817605,False,False,False,True,False,False,False,False,False,False
14228370,41.0208400212442,True,False,False,False,False,False,False,False,False,False
14228371,26.82592352567817,True,False,False,False,False,False,False,False,False,False
14228372,623.5244255026366,False,False,False,False,True,False,False,False,False,False
14228374,623.5298841600804,False,False,False,False,True,False,False,False,False,False
14228375,1215.6392610029386,False,False,False,False,True,False,False,False,False,False
14228376,583.2815507991738,False,False,False,False,True,False,False,False,False,False
14228377,1004.6923600966452,False,False,False,False,True,False,False,False,False,False
14228378,555.1436952531024,False,False,False,False,True,False,False,False,False,False
14228379,449.54087883734695,False,False,False,True,False,False,False,False,False,False
14228381,764.3369853430439,False,False,False,False,True,False,False,False,False,False
14228382,231.1686926841824,False,False,False,True,False,False,False,False,False,False
14228386,623.452620090406,False,False,False,False,True,False,False,False,False,False
14228387,663.675369773658,False,False,False,False,True,False,False,False,False,False
14228388,536.9737082713608,False,False,False,False,True,False,False,False,False,False
14228389,282.55212552,False,False,False,True,False,False,False,False,False,False
14228392,56.5211098977345,False,True,False,False,False,False,False,False,False,False
14228393,154.91342776000002,False,False,True,False,False,False,False,False,False,False
14228398,15.745916373756128,True,False,False,False,False,False,False,False,False,False
14228399,228.97484933079468,False,False,False,True,False,False,False,False,False,False
14228402,153.9685109077395,False,False,True,False,False,False,False,False,False,False
14228407,1020.5950855334784,False,False,False,False,True,False,False,False,False,False
14228408,1646.8685057841788,False,False,False,False,False,True,False,False,False,False
14228409,977.2266518551302,False,False,False,False,True,False,False,False,False,False
14228410,2256.998899445742,False,False,False,False,False,True,False,False,False,False
14228411,2125.890733170933,False,False,False,False,False,True,False,False,False,False
14228412,1237.4067698735892,False,False,False,False,True,False,False,False,False,False
14228413,1646.8385338027717,False,False,False,False,False,True,False,False,False,False
14228414,1199.075307124568,False,False,False,False,True,False,False,False,False,False
14228415,494.15199670359596,False,False,False,True,False,False,False,False,False,False
14228416,2280.1562872392533,False,False,False,False,False,True,False,False,False,False
14228417,50893.79047486,False,False,False,False,False,False,False,False,False,True
14228418,685.728072436522,False,False,False,False,True,False,False,False,False,False
14228419,983.913468506144,False,False,False,False,True,False,False,False,False,False
14228420,952.6620202890209,False,False,False,False,True,False,False,False,False,False
14228421,794.3879145883872,False,False,False,False,True,False,False,False,False,False
14228422,392.1525731532628,False,False,False,True,False,False,False,False,False,False
14228423,1381.102190581472,False,False,False,False,True,False,False,False,False,False
14228424,677.4447912595776,False,False,False,False,True,False,False,False,False,False
14228425,1612.944,False,False,False,False,False,True,False,False,False,False
14228445,10.234666173182767,True,False,False,False,False,False,False,False,False,False
14228446,2286.0142647346092,False,False,False,False,False,True,False,False,False,False
14228447,49.497952860793504,True,False,False,False,False,False,False,False,False,False
14228448,48.76998642079762,True,False,False,False,False,False,False,False,False,False
14228449,503.09752727127665,False,False,False,False,True,False,False,False,False,False
14228450,28.286324277783596,True,False,False,False,False,False,False,False,False,False
14228451,1288.0489084322774,False,False,False,False,True,False,False,False,False,False
14228452,1752.7466478857334,False,False,False,False,False,True,False,False,False,False
14228453,1207.2199111411214,False,False,False,False,True,False,False,False,False,False
14228454,944.5547394659916,False,False,False,False,True,False,False,False,False,False
14228455,1092.1014118181502,False,False,False,False,True,False,False,False,False,False
14228456,490.9877991814968,False,False,False,True,False,False,False,False,False,False
14228457,11.111608148251602,True,False,False,False,False,False,False,False,False,False
14228458,875.8080599560212,False,False,False,False,True,False,False,False,False,False
14228459,257.590196050197,False,False,False,True,False,False,False,False,False,False
14228460,925.3534968986177,False,False,False,False,True,False,False,False,False,False
14228463,4709.509290709686,False,False,False,False,False,False,True,False,False,False
14228464,893.0612587512493,False,False,False,False,True,False,False,False,False,False
