tid,volume,50,100,200,500,1500,3000,5000,10000,20000,0
14228003,99.99916875242052,False,True,False,False,False,False,False,False,False,False
14228004,59.50925859415691,False,True,False,False,False,False,False,False,False,False
14228006,29.9991999081384,True,False,False,False,False,False,False,False,False,False
14228007,8.899648649824698,True,False,False,False,False,False,False,False,False,False
14228008,10.999219485586238,True,False,False,False,False,False,False,False,False,False
14228013,149.999874789975,False,False,True,False,False,False,False,False,False,False
14228015,2.0994951170467595,True,False,False,False,False,False,False,False,False,False
14228016,10.0793657852247,True,False,False,False,False,False,False,False,False,False
14228017,39.999409543356315,True,False,False,False,False,False,False,False,False,False
14228019,520.543323920704,False,False,False,False,True,False,False,False,False,False
14228020,1112.7264989918806,False,False,False,False,True,False,False,False,False,False
14228021,249.99952336109925,False,False,False,True,False,False,False,False,False,False
14228022,516.6600917992182,False,False,False,False,True,False,False,False,False,False
14228023,983.339233119504,False,False,False,False,True,False,False,False,False,False
14228032,24.784649997496498,True,False,False,False,False,False,False,False,False,False
14228033,499.9994435968754,False,False,False,True,False,False,False,False,False,False
14228034,7.20918,True,False,False,False,False,False,False,False,False,False
14228035,19.99998,True,False,False,False,False,False,False,False,False,False
14228036,8.49915,True,False,False,False,False,False,False,False,False,False
14228037,499.9995,False,False,False,True,False,False,False,False,False,False
14228038,34.999761359806996,True,False,False,False,False,False,False,False,False,False
14228039,1355.8606450599052,False,False,False,False,True,False,False,False,False,False
14228040,644.1493360490762,False,False,False,False,True,False,False,False,False,False
14228041,882.733654451911,False,False,False,False,True,False,False,False,False,False
14228042,117.2657108983308,False,False,True,False,False,False,False,False,False,False
14228047,1.999478428177709,True,False,False,False,False,False,False,False,False,False
14228048,199.99941664960141,False,False,True,False,False,False,False,False,False,False
14228049,20.41990465748824,True,False,False,False,False,False,False,False,False,False
14228050,17.94936118029219,True,False,False,False,False,False,False,False,False,False
14228051,65.70985609012997,False,True,False,False,False,False,False,False,False,False
14228052,19.999560937422583,True,False,False,False,False,False,False,False,False,False
14228053,704.105135184929,False,False,False,False,True,False,False,False,False,False
14228054,1152.635973455821,False,False,False,False,True,False,False,False,False,False
14228055,943.2580847152191,False,False,False,False,True,False,False,False,False,False
14228056,2.419953814181536,True,False,False,False,False,False,False,False,False,False
14228059,999.9993332887707,False,False,False,False,True,False,False,False,False,False
14228060,0.999936,True,False,False,False,False,False,False,False,False,False
14228061,13448.402144,False,False,False,False,False,False,False,False,True,False
14228062,565.889376,False,False,False,False,True,False,False,False,False,False
14228063,3.593024,True,False,False,False,False,False,False,False,False,False
14228064,2483.509881,False,False,False,False,False,True,False,False,False,False
14228065,499.99941596263784,False,False,False,True,False,False,False,False,False,False
14228066,59.8897180599402,False,True,False,False,False,False,False,False,False,False
14228067,254.28853780259797,False,False,False,True,False,False,False,False,False,False
14228068,220.13139939087029,False,False,False,True,False,False,False,False,False,False
14228069,313.3292047682744,False,False,False,True,False,False,False,False,False,False
14228070,499.99934563492286,False,False,False,True,False,False,False,False,False,False
14228071,49.999555832984676,True,False,False,False,False,False,False,False,False,False
14228072,19.9992428223,True,False,False,False,False,False,False,False,False,False
14228074,99.99914440870525,False,True,False,False,False,False,False,False,False,False
14228075,93.74998422035446,False,True,False,False,False,False,False,False,False,False
14228077,199.96118846118887,False,False,True,False,False,False,False,False,False,False
14228078,9.999426393787635,True,False,False,False,False,False,False,False,False,False
14228081,666.816158659933,False,False,False,False,True,False,False,False,False,False
14228082,1333.183460472902,False,False,False,False,True,False,False,False,False,False
14228085,29.999374856262754,True,False,False,False,False,False,False,False,False,False
14228090,39.999285405,True,False,False,False,False,False,False,False,False,False
14228094,7.499678770388935,True,False,False,False,False,False,False,False,False,False
14228096,9.22971521545738,True,False,False,False,False,False,False,False,False,False
14228097,504.46121988835944,False,False,False,False,True,False,False,False,False,False
14228098,620.53801752228,False,False,False,False,True,False,False,False,False,False
14228100,1.949720653062239,True,False,False,False,False,False,False,False,False,False
14228101,1145.0863532548851,False,False,False,False,True,False,False,False,False,False
14228102,854.9134756603868,False,False,False,False,True,False,False,False,False,False
14228103,136.109928955816,False,False,True,False,False,False,False,False,False,False
14228104,1.8998150123629152,True,False,False,False,False,False,False,False,False,False
14228105,11.109938,True,False,False,False,False,False,False,False,False,False
14228106,3.9998560000000003,True,False,False,False,False,False,False,False,False,False
14228107,24.999822719647007,True,False,False,False,False,False,False,False,False,False
14228108,478.0961086771506,False,False,False,True,False,False,False,False,False,False
14228109,498.978639307153,False,False,False,True,False,False,False,False,False,False
14228110,22.924622,True,False,False,False,False,False,False,False,False,False
14228111,476.05117122636614,False,False,False,True,False,False,False,False,False,False
14228112,23.958382,True,False,False,False,False,False,False,False,False,False
14228113,99.99965343422987,False,True,False,False,False,False,False,False,False,False
14228114,99.38338,False,True,False,False,False,False,False,False,False,False
14228115,4.999221913439266,True,False,False,False,False,False,False,False,False,False
14228116,75.1297002968,False,True,False,False,False,False,False,False,False,False
14228118,255.99930509914532,False,False,False,True,False,False,False,False,False,False
14228119,504.471084676031,False,False,False,False,True,False,False,False,False,False
14228120,995.5279267241662,False,False,False,False,True,False,False,False,False,False
14228121,110.99912179474501,False,False,True,False,False,False,False,False,False,False
14228124,1236.186967831548,False,False,False,False,True,False,False,False,False,False
14228125,1691.7816809760866,False,False,False,False,False,True,False,False,False,False
14228126,1230.2086063217448,False,False,False,False,True,False,False,False,False,False
14228127,973.0110502700511,False,False,False,False,True,False,False,False,False,False
